Location,University,QS Rank,Program,Qualification
HK,The University of Hong Kong,11,Bachelor of Engineering in Computer Engineering / Electrical Engineering / Electronic Engineering,BEng
HK,The University of Hong Kong,11,Pharmacy,MPharm
HK,The University of Hong Kong,11,Nursing,BSc
HK,The University of Hong Kong,11,Psychology,MA (Hons)
HK,The University of Hong Kong,11,Bachelor of Science,
HK,The University of Hong Kong,11,Bachelor of Pharmacy,MPharm
HK,The University of Hong Kong,11,Bachelor of Education and Bachelor of Science,BEd
HK,The University of Hong Kong,11,Bachelor of Education and Bachelor of Science,BEd
HK,The University of Hong Kong,11,Bachelor of Science,
HK,The University of Hong Kong,11,Statistical Decision Sciences,
HK,The University of Hong Kong,11,Bachelor of Arts and Sciences in Design+,BA
HK,The University of Hong Kong,11,Bachelor of Arts in Global Creative Industries,
HK,The University of Hong Kong,11,Computing and Data Science,BSc
HK,The University of Hong Kong,11,Bachelor of Arts and Sciences in Applied Artificial Intelligence,BEng
HK,The University of Hong Kong,11,Bachelor of Arts and Bachelor of Engineering in Artificial Intelligence and Data Science,BEng
HK,The University of Hong Kong,11,Bachelor of Dental Surgery,BDent
HK,The University of Hong Kong,11,Bachelor of Biomedical Sciences,BSc
HK,The University of Hong Kong,11,Bachelor of Pharmacy,MPharm
HK,The University of Hong Kong,11,Bachelor of Social Sciences,BSSc
HK,The University of Hong Kong,11,Bachelor of Arts in Urban Studies,BSSc
HK,The University of Hong Kong,11,Bachelor of Economics / Bachelor of Economics and Finance,BSc
HK,The University of Hong Kong,11,Bachelor of Nursing,BSc
HK,The University of Hong Kong,11,Bachelor of Arts and Bachelor of Education in Language Education - English,BEd
HK,The University of Hong Kong,11,Bachelor of Engineering in Biomedical Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Biomedical Sciences,BSc
HK,The University of Hong Kong,11,Bachelor of Engineering in Mechanical Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Engineering in Civil Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Engineering in Mechanical Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Engineering Elite Programme,BEng
HK,The University of Hong Kong,11,Bachelor of Science in Surveying,
HK,The University of Hong Kong,11,Bachelor of Arts in Landscape Studies,
HK,The University of Hong Kong,11,Bachelor of Social Work,BSSc
HK,The University of Hong Kong,11,Bachelor of Arts and Sciences in Global Health and Development,BA & BSc
HK,The University of Hong Kong,11,Bachelor of Science,BSc
HK,The University of Hong Kong,11,Bachelor of Nursing,BNurs
HK,The University of Hong Kong,11,Bachelor of Science,
HK,The University of Hong Kong,11,Bachelor of Arts in Architectural Studies,
HK,The University of Hong Kong,11,Bachelor of Nursing,BSc
HK,The University of Hong Kong,11,Bachelor of Business Administration,BBA
HK,The University of Hong Kong,11,Bachelor of Journalism, Media and Artificial Intelligence,BA
HK,The University of Hong Kong,11,Bachelor of Social Sciences,BSSc
HK,The University of Hong Kong,11,Bachelor of Biomedical Science,BSc
HK,The University of Hong Kong,11,Bachelor of Science,
HK,The University of Hong Kong,11,Bachelor of Nursing,BSc
HK,The University of Hong Kong,11,Bachelor of Engineering in Mechanical Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Engineering in Biomedical Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Engineering in Civil Engineering,BEng
HK,The University of Hong Kong,11,Bachelor of Medicine and Bachelor of Surgery,MBBS
HK,The University of Hong Kong,11,Bachelor of Biomedical Sciences,BSc
HK,The University of Hong Kong,11,Bachelor of Pharmacy,BSc
HK,The University of Hong Kong,11,Science Master Class,
HK,The University of Hong Kong,11,Bachelor of Engineering Elite Programme,BEng
HK,The University of Hong Kong,11,Bachelor of Arts and Science in Applied Artificial Intelligence,BEng
HK,The University of Hong Kong,11,Bachelor of Science in Speech-Language Pathology,BSc
HK,The University of Hong Kong,11,Bachelor of Social Sciences,BSSc
HK,The University of Hong Kong,11,Bachelor of Psychology,BPsych
HK,The University of Hong Kong,11,Bachelor of Business Administration in International Business and Global Management,BBA
HK,The University of Hong Kong,11,Bachelor of Business Administration,BBA
HK,The University of Hong Kong,11,Bachelor of Economics / Bachelor of Economics and Finance,BSc
HK,The University of Hong Kong,11,Bachelor of Medicine and Bachelor of Surgery,MBChB
